title,type,address,rating
Affonykate hotel ,Гостиницы,"​Проспект Мира, 105 ст1, Москва",4.8
Д-отель на Тверской ,Гостиницы,"​Тверская улица, 5/6, Москва",4.2
Покровская ,Гостиница,"​Таганская улица, 58 ст12, Москва",4.6
Погости.ру ,Отель,"​Большая Тульская улица, 2, Москва",3.9
Mandarin Hotels Group ,Бизнес-отель,"​Гостиница Hotel Mandarin Moscow, Ольховская улица, 23, Москва",4.2
Ахоум-отель ,Гостиницы,"​Дмитровское шоссе, 46 к2, Москва",4.2
Каширский ,Мини-гостиница,"​Каширское шоссе, 9 к1, Москва",4.4
Ring Road Hotel ,Гостиницы,"​Улица Беговая, 7, Москва",4.7
City Garden Hotel Taganskaya ,Мини-отель,"​Улица Земляной Вал, 54 ст2, Москва",4.9
Винтерфелл на Цветном бульваре ,Сеть гостиниц,"​Садовая-Каретная улица, 24/7, Москва",4.1
Imrus ,Отель,"​Новинский бульвар, 22 ст1, Москва",3.0
Лео ,Отель,"​Ленинский проспект, 36, Москва",4.1
Solotel ,Мини-отель,"​Тверская улица, 12 ст2, Москва",3.7
Фрегат ,Мини-отель,"​Большой Строченовский переулок, 4 ст1, Москва",4.6
Лалуна ,Мини-отель,"​Проспект 60-летия Октября, 14 к1, Москва",4.4
Golden Rooms Hotel ,Отель,"​ГРК The Rooms Boutique Hotel, Николоямская улица, 38/23 ст3, Москва",4.6
Интурист Коломенское ,Гостиница,"​Каширское шоссе, 39Б, Москва",4.7
Good Point ,Бутик-отель,"​Переведеновский переулок, 2 ст1, Москва",2.7
Берси ,Отель,"​Улица Новый Арбат, 16, Москва",3.8
Амай на Первомайской ,Отель,"​Верхняя Первомайская улица, 2а, Москва",4.2
Рандеву ,Отель на Таганке,"​Николоямская улица, 52 ст2, Москва",3.9
Minima hotels ,Сеть гостиниц,"​Лубянский проезд, 25 ст1, Москва",4.5
AZIMUT Сити Отель Тульская Москва ,Гостиницы,"​Даниловская Мануфактура, Варшавское шоссе, 9, Москва",4.5
Four Reasons Hotel ,Гостиницы,"​ГРК The Rooms Boutique Hotel, Николоямская улица, 38 ст3, Москва",4.6
Аструс ,Гостиничный комплекс,"​Ленинский проспект, 146, Москва",4.1
Руссо-Балт ,Отель,"​Гоголевский бульвар, 31 ст1, Москва",4.7
